Image,Button,Status,Red_Area,Blue_Area,Red_Thickness,Blue_Thickness,Global_Offset_X,Global_Offset_Y,Misalignment_Px
1.png,button_1,OK,1436.0,1452.5,10.38,10.95,0.76,6.81,0.62
1.png,button_2,OK,1633.5,1273.5,12.29,10.13,0.76,6.81,2.11
1.png,button_3,OK,1458.5,1456.0,10.38,11.21,0.76,6.81,3.23
1.png,button_4,OK,1660.0,1220.0,12.04,10.13,0.76,6.81,2.12
1.png,button_5,OK,1345.5,1288.0,10.13,10.95,0.76,6.81,1.39
1.png,button_6,OK,1608.0,1116.5,12.29,9.3,0.76,6.81,3.32
1.png,button_7,OK,1468.0,1258.5,10.13,10.13,0.76,6.81,1.88
1.png,button_8,OK,1541.0,1115.0,12.04,9.3,0.76,6.81,0.69
10.png,button_1,OK,1421.0,1384.5,10.2,10.95,-0.93,5.86,0.99
10.png,button_2,OK,1585.5,1234.0,12.04,10.13,-0.93,5.86,1.1
10.png,button_3,OK,1539.5,1395.0,10.13,10.95,-0.93,5.86,4.4
10.png,button_4,OK,1639.0,1252.0,12.29,9.55,-0.93,5.86,0.73
10.png,button_5,OK,1411.5,1259.0,10.13,10.13,-0.93,5.86,0.58
10.png,button_6,OK,1553.5,1122.5,12.04,9.3,-0.93,5.86,3.35
10.png,button_7,OK,1438.5,1245.0,10.13,10.13,-0.93,5.86,3.32
10.png,button_8,OK,1551.5,1076.0,12.04,8.47,-0.93,5.86,1.28
11.png,button_1,OK,1498.5,1442.0,10.95,10.95,-0.59,3.01,0.96
11.png,button_2,OK,1659.0,1287.5,12.29,10.13,-0.59,3.01,0.44
11.png,button_3,OK,1585.5,1443.0,10.95,10.95,-0.59,3.01,4.56
11.png,button_4,OK,1659.5,1247.5,12.29,10.13,-0.59,3.01,0.6
11.png,button_5,OK,1383.5,1265.5,10.13,10.38,-0.59,3.01,0.73
11.png,button_6,OK,1601.0,1116.0,12.29,9.3,-0.59,3.01,3.66
11.png,button_7,OK,1498.5,1313.0,10.13,10.38,-0.59,3.01,4.31
11.png,button_8,OK,1568.5,1093.5,11.46,9.3,-0.59,3.01,0.29
12.png,button_1,OK,1475.5,1425.0,10.95,10.95,-0.66,3.14,1.17
12.png,button_2,OK,1629.0,1258.5,12.29,10.13,-0.66,3.14,0.64
12.png,button_3,OK,1508.0,1436.0,10.38,10.95,-0.66,3.14,4.57
12.png,button_4,OK,1678.0,1250.5,12.29,10.13,-0.66,3.14,0.81
12.png,button_5,OK,1349.5,1264.0,10.13,10.13,-0.66,3.14,1.22
12.png,button_6,OK,1569.5,1122.0,12.04,9.3,-0.66,3.14,3.33
12.png,button_7,OK,1445.0,1303.5,10.13,10.13,-0.66,3.14,4.2
12.png,button_8,OK,1577.5,1080.0,12.04,8.47,-0.66,3.14,0.23
13.png,button_1,OK,1380.0,1459.5,10.13,11.21,-0.87,4.04,1.29
13.png,button_2,OK,1649.0,1274.5,12.29,10.13,-0.87,4.04,1.18
13.png,button_3,OK,1422.5,1444.5,10.13,10.95,-0.87,4.04,3.61
13.png,button_4,OK,1592.5,1210.0,11.92,9.55,-0.87,4.04,2.51
13.png,button_5,OK,1352.5,1329.0,10.13,10.95,-0.87,4.04,1.21
13.png,button_6,OK,1608.0,1151.5,12.86,9.55,-0.87,4.04,3.05
13.png,button_7,OK,1430.0,1277.5,10.13,10.38,-0.87,4.04,2.69
13.png,button_8,OK,1556.0,1092.5,12.29,8.47,-0.87,4.04,0.64
14.png,button_1,OK,1436.5,1452.5,10.95,11.21,0.24,4.06,1.8
14.png,button_2,OK,1686.5,1280.0,12.86,10.13,0.24,4.06,1.12
14.png,button_3,OK,1399.0,1464.5,10.13,11.21,0.24,4.06,3.83
14.png,button_4,OK,1597.5,1269.5,11.46,9.55,0.24,4.06,2.02
14.png,button_5,OK,1400.0,1315.5,10.38,10.95,0.24,4.06,1.28
14.png,button_6,OK,1560.5,1180.5,12.04,9.55,0.24,4.06,2.78
14.png,button_7,OK,1419.5,1348.5,10.13,10.38,0.24,4.06,3.27
14.png,button_8,OK,1478.0,1121.5,11.46,9.3,0.24,4.06,0.94
15.png,button_1,OK,1480.5,1500.0,10.95,11.46,1.32,4.31,0.89
15.png,button_2,OK,1678.5,1309.5,12.86,10.13,1.32,4.31,1.26
15.png,button_3,OK,1503.5,1485.0,10.95,11.46,1.32,4.31,3.88
15.png,button_4,OK,1673.5,1255.5,12.29,9.55,1.32,4.31,1.67
15.png,button_5,OK,1429.5,1332.5,10.13,10.95,1.32,4.31,0.82
15.png,button_6,OK,1644.5,1155.5,12.86,9.3,1.32,4.31,3.62
15.png,button_7,OK,1433.5,1329.5,10.13,10.95,1.32,4.31,2.14
15.png,button_8,OK,1574.0,1127.5,12.86,9.3,1.32,4.31,0.5
16.png,button_1,OK,1419.5,1432.5,10.13,10.95,0.21,5.87,0.14
16.png,button_2,OK,1633.0,1273.5,12.29,10.13,0.21,5.87,1.58
16.png,button_3,OK,1450.0,1450.0,10.13,10.95,0.21,5.87,3.95
16.png,button_4,OK,1627.5,1275.0,12.04,10.13,0.21,5.87,0.75
16.png,button_5,OK,1365.5,1279.5,9.55,10.13,0.21,5.87,1.25
16.png,button_6,OK,1518.0,1069.5,12.04,8.47,0.21,5.87,5.22
16.png,button_7,OK,1429.5,1313.0,10.13,10.95,0.21,5.87,4.37
16.png,button_8,OK,1560.0,1111.0,12.29,9.3,0.21,5.87,0.07
17.png,button_1,OK,1463.0,1406.0,10.38,10.95,-0.65,5.66,0.57
17.png,button_2,OK,1646.0,1249.5,12.04,9.55,-0.65,5.66,1.69
17.png,button_3,OK,1551.0,1447.5,10.38,10.95,-0.65,5.66,3.9
17.png,button_4,OK,1669.5,1275.0,12.04,10.13,-0.65,5.66,1.03
17.png,button_5,OK,1397.5,1310.5,10.13,10.38,-0.65,5.66,1.16
17.png,button_6,OK,1579.5,1118.0,12.04,9.3,-0.65,5.66,3.15
17.png,button_7,OK,1484.5,1323.5,10.13,10.95,-0.65,5.66,3.46
17.png,button_8,OK,1597.0,1140.5,12.04,9.3,-0.65,5.66,0.99
18.png,button_1,OK,1422.5,1416.0,10.38,10.95,-1.93,5.94,1.79
18.png,button_2,OK,1600.0,1210.5,12.04,9.55,-1.93,5.94,1.09
18.png,button_3,OK,1494.5,1416.0,10.13,10.95,-1.93,5.94,4.43
18.png,button_4,OK,1593.5,1224.0,12.04,9.55,-1.93,5.94,1.05
18.png,button_5,OK,1458.0,1268.0,10.3,10.38,-1.93,5.94,0.66
18.png,button_6,OK,1524.5,1102.0,11.46,8.47,-1.93,5.94,3.11
18.png,button_7,OK,1496.5,1251.0,10.13,10.13,-1.93,5.94,4.42
18.png,button_8,OK,1568.0,1117.5,12.04,9.3,-1.93,5.94,1.12
19.png,button_1,OK,1431.0,1444.5,10.38,11.21,-0.5,5.63,1.16
19.png,button_2,OK,1668.0,1286.5,12.29,10.13,-0.5,5.63,1.46
19.png,button_3,OK,1428.0,1422.0,10.13,10.95,-0.5,5.63,4.36
19.png,button_4,OK,1598.5,1237.5,12.04,9.55,-0.5,5.63,1.76
19.png,button_5,OK,1347.5,1304.0,10.13,10.95,-0.5,5.63,0.75
19.png,button_6,OK,1581.5,1125.5,12.29,9.3,-0.5,5.63,2.58
19.png,button_7,OK,1424.0,1278.0,10.13,10.38,-0.5,5.63,2.17
19.png,button_8,OK,1553.5,1065.0,12.29,8.47,-0.5,5.63,0.78
2.png,button_1,OK,1493.5,1438.0,10.38,10.95,-0.43,2.31,0.84
2.png,button_2,OK,1637.5,1270.5,12.29,9.55,-0.43,2.31,0.75
2.png,button_3,OK,1607.0,1439.5,10.95,10.95,-0.43,2.31,3.76
2.png,button_4,OK,1689.5,1248.0,12.86,9.95,-0.43,2.31,0.73
2.png,button_5,OK,1426.5,1268.5,10.13,10.13,-0.43,2.31,0.64
2.png,button_6,OK,1603.0,1117.5,12.04,9.3,-0.43,2.31,3.57
2.png,button_7,OK,1438.0,1312.0,10.13,10.38,-0.43,2.31,3.77
2.png,button_8,OK,1579.5,1045.0,12.04,8.22,-0.43,2.31,0.59
20.png,button_1,OK,1425.0,1450.0,10.44,10.95,0.47,5.71,1.32
20.png,button_2,OK,1659.0,1264.5,12.29,10.13,0.47,5.71,1.15
20.png,button_3,OK,1445.0,1445.5,10.13,10.95,0.47,5.71,3.03
20.png,button_4,OK,1578.0,1235.0,11.46,9.55,0.47,5.71,1.23
20.png,button_5,OK,1372.0,1316.5,10.13,10.95,0.47,5.71,1.12
20.png,button_6,OK,1580.0,1155.0,12.29,9.55,0.47,5.71,3.17
20.png,button_7,OK,1535.5,1265.0,10.38,10.13,0.47,5.71,2.5
20.png,button_8,OK,1575.0,1107.0,12.29,9.3,0.47,5.71,0.86
21.png,button_1,OK,1394.0,1461.0,10.13,11.21,1.34,5.28,0.76
21.png,button_2,OK,1632.5,1375.5,12.04,10.13,1.34,5.28,1.94
21.png,button_3,OK,1204.0,1522.5,9.55,11.46,1.34,5.28,5.12
21.png,button_4,OK,1545.0,1427.5,11.46,10.13,1.34,5.28,1.63
21.png,button_5,OK,1312.0,1353.5,10.13,11.18,1.34,5.28,1.26
21.png,button_6,OK,1589.5,1156.5,12.29,9.55,1.34,5.28,3.71
21.png,button_7,OK,1317.0,1348.5,9.55,10.95,1.34,5.28,2.79
21.png,button_8,OK,1491.5,1033.5,11.46,7.39,1.34,5.28,0.77
22.png,button_1,OK,1497.5,1414.0,10.95,10.95,-0.48,11.81,0.72
22.png,button_2,OK,1717.5,1254.5,12.86,9.55,-0.48,11.81,1.05
22.png,button_3,OK,1503.0,1417.5,10.13,10.95,-0.48,11.81,4.83
22.png,button_4,OK,1663.5,1164.0,12.29,9.3,-0.48,11.81,1.32
22.png,button_5,OK,1488.0,1346.0,10.95,10.95,-0.48,11.81,1.86
22.png,button_6,OK,1715.0,1163.5,12.86,9.3,-0.48,11.81,3.22
22.png,button_7,OK,1543.5,1256.5,10.13,10.13,-0.48,11.81,2.77
22.png,button_8,OK,1663.5,1099.5,12.86,9.3,-0.48,11.81,1.09
23.png,button_1,OK,1421.0,1444.0,10.13,10.95,-0.7,4.67,0.94
23.png,button_2,OK,1634.5,1286.5,12.24,10.13,-0.7,4.67,2.16
23.png,button_3,OK,1534.5,1412.5,10.13,10.95,-0.7,4.67,3.94
23.png,button_4,OK,1642.0,1253.5,12.04,10.13,-0.7,4.67,0.99
23.png,button_5,OK,1355.0,1294.5,9.55,10.38,-0.7,4.67,1.19
23.png,button_6,OK,1573.5,1106.0,12.29,9.3,-0.7,4.67,4.54
23.png,button_7,OK,1446.5,1296.0,10.13,10.38,-0.7,4.67,3.76
23.png,button_8,OK,1549.0,1050.0,12.04,8.47,-0.7,4.67,1.39
24.png,button_1,OK,1406.5,1375.0,10.13,10.38,-0.79,7.63,0.71
24.png,button_2,OK,1591.5,1236.5,12.04,9.55,-0.79,7.63,0.79
24.png,button_3,OK,1526.5,1406.0,10.13,10.95,-0.79,7.63,4.22
24.png,button_4,OK,1581.0,1223.5,12.04,9.55,-0.79,7.63,0.62
24.png,button_5,OK,1383.0,1241.5,10.13,10.38,-0.79,7.63,0.36
24.png,button_6,OK,1527.0,1108.5,12.04,9.3,-0.79,7.63,3.47
24.png,button_7,OK,1450.5,1260.0,10.13,10.13,-0.79,7.63,3.79
24.png,button_8,OK,1508.0,1018.5,11.46,8.22,-0.79,7.63,0.87
25.png,button_1,OK,1426.5,1457.0,10.38,11.21,-0.14,6.07,1.07
25.png,button_2,OK,1642.5,1276.0,12.29,10.13,-0.14,6.07,1.73
25.png,button_3,OK,1459.5,1465.0,10.35,11.21,-0.14,6.07,2.84
25.png,button_4,OK,1647.0,1180.0,12.04,9.55,-0.14,6.07,2.02
25.png,button_5,OK,1340.0,1317.0,10.13,10.95,-0.14,6.07,1.54
25.png,button_6,OK,1569.0,1076.0,12.29,8.47,-0.14,6.07,2.36
25.png,button_7,OK,1461.5,1242.0,10.13,10.13,-0.14,6.07,1.8
25.png,button_8,OK,1528.0,1118.0,12.04,9.3,-0.14,6.07,1.02
26.png,button_1,OK,1433.0,1409.0,10.38,10.95,-1.85,6.36,0.73
26.png,button_2,OK,1585.0,1238.5,11.46,9.61,-1.85,6.36,0.34
26.png,button_3,OK,1484.5,1423.5,10.13,10.95,-1.85,6.36,4.14
26.png,button_4,OK,1622.5,1241.5,12.04,9.55,-1.85,6.36,1.02
26.png,button_5,OK,1318.5,1254.0,9.55,10.13,-1.85,6.36,1.0
26.png,button_6,OK,1549.5,1098.5,12.04,8.47,-1.85,6.36,3.61
26.png,button_7,OK,1452.0,1253.0,9.55,10.13,-1.85,6.36,4.0
26.png,button_8,OK,1516.0,1080.0,11.46,8.47,-1.85,6.36,0.69
27.png,button_1,OK,1452.0,1485.5,10.95,11.21,0.43,4.3,1.16
27.png,button_2,OK,1700.5,1318.0,12.86,10.13,0.43,4.3,1.2
27.png,button_3,OK,1522.5,1497.5,10.95,11.46,0.43,4.3,3.94
27.png,button_4,OK,1683.5,1239.0,12.29,9.55,0.43,4.3,1.75
27.png,button_5,OK,1369.0,1362.5,10.13,10.95,0.43,4.3,0.76
27.png,button_6,OK,1633.5,1173.0,12.86,9.55,0.43,4.3,3.2
27.png,button_7,OK,1437.5,1279.0,10.13,10.13,0.43,4.3,2.98
27.png,button_8,OK,1597.5,1147.0,12.86,9.55,0.43,4.3,0.72
28.png,button_1,OK,1515.5,1448.0,10.95,10.95,-0.8,4.53,0.78
28.png,button_2,OK,1674.0,1297.5,12.29,10.13,-0.8,4.53,1.08
28.png,button_3,OK,1547.0,1446.5,10.13,10.95,-0.8,4.53,3.96
28.png,button_4,OK,1666.5,1215.5,12.04,9.55,-0.8,4.53,0.64
28.png,button_5,OK,1399.0,1292.5,10.13,10.38,-0.8,4.53,0.37
28.png,button_6,OK,1549.0,1114.5,12.04,9.3,-0.8,4.53,4.23
28.png,button_7,OK,1458.0,1305.0,10.13,10.38,-0.8,4.53,4.27
28.png,button_8,OK,1590.5,1110.5,12.29,9.3,-0.8,4.53,0.89
29.png,button_1,OK,1434.0,1437.0,10.38,10.95,0.01,11.54,0.43
29.png,button_2,OK,1718.0,1244.0,12.86,9.55,0.01,11.54,2.4
29.png,button_3,OK,1523.0,1428.5,10.38,10.95,0.01,11.54,4.83
29.png,button_4,OK,1648.5,1231.0,12.04,9.55,0.01,11.54,1.5
29.png,button_5,OK,1413.0,1328.5,10.38,10.95,0.01,11.54,1.54
29.png,button_6,OK,1622.0,1104.0,12.86,9.3,0.01,11.54,3.54
29.png,button_7,OK,1446.0,1301.5,10.13,10.38,0.01,11.54,2.66
29.png,button_8,OK,1585.0,1128.0,12.29,8.47,0.01,11.54,0.61
3.png,button_1,OK,1475.0,1412.5,10.95,10.95,-0.94,2.3,0.85
3.png,button_2,OK,1676.5,1259.5,12.86,10.13,-0.94,2.3,0.68
3.png,button_3,OK,1531.5,1441.0,10.38,10.95,-0.94,2.3,4.84
3.png,button_4,OK,1679.0,1269.5,12.29,10.13,-0.94,2.3,0.45
3.png,button_5,OK,1387.0,1299.5,10.13,10.38,-0.94,2.3,0.63
3.png,button_6,OK,1586.0,1170.0,12.29,9.55,-0.94,2.3,3.19
3.png,button_7,OK,1414.5,1311.0,10.13,10.38,-0.94,2.3,3.79
3.png,button_8,OK,1595.5,1087.0,12.29,8.47,-0.94,2.3,0.06
30.png,button_1,OK,1432.0,1457.0,10.13,10.95,-1.24,6.66,0.67
30.png,button_2,OK,1621.0,1267.0,12.04,10.13,-1.24,6.66,1.31
30.png,button_3,OK,1516.0,1426.5,10.13,10.95,-1.24,6.66,4.36
30.png,button_4,OK,1615.0,1224.0,12.04,9.55,-1.24,6.66,1.03
30.png,button_5,OK,1418.0,1259.0,10.13,10.13,-1.24,6.66,0.61
30.png,button_6,OK,1588.5,1108.0,12.29,9.3,-1.24,6.66,3.76
30.png,button_7,OK,1454.0,1273.0,9.55,10.13,-1.24,6.66,3.73
30.png,button_8,OK,1560.0,1083.5,12.04,8.47,-1.24,6.66,0.94
31.png,button_1,OK,1455.0,1450.5,10.13,10.95,-0.26,4.39,1.56
31.png,button_2,OK,1679.0,1268.0,12.86,10.13,-0.26,4.39,1.46
31.png,button_3,OK,1457.5,1460.5,10.13,11.21,-0.26,4.39,3.75
31.png,button_4,OK,1643.5,1237.0,12.04,10.13,-0.26,4.39,1.54
31.png,button_5,OK,1379.5,1313.5,10.13,10.95,-0.26,4.39,1.21
31.png,button_6,OK,1578.0,1129.0,12.29,9.3,-0.26,4.39,3.79
31.png,button_7,OK,1449.5,1266.5,10.13,10.13,-0.26,4.39,1.67
31.png,button_8,OK,1594.0,1058.5,12.29,8.47,-0.26,4.39,0.93
32.png,button_1,OK,1413.0,1462.0,10.13,10.95,-1.03,5.56,1.2
32.png,button_2,OK,1575.5,1279.0,11.46,10.13,-1.03,5.56,1.08
32.png,button_3,OK,1492.0,1393.0,10.13,10.95,-1.03,5.56,3.54
32.png,button_4,OK,1649.0,1261.0,12.04,9.55,-1.03,5.56,0.69
32.png,button_5,OK,1412.5,1245.0,10.13,10.13,-1.03,5.56,0.58
32.png,button_6,OK,1531.5,1116.0,12.04,9.3,-1.03,5.56,3.79
32.png,button_7,OK,1451.0,1269.0,10.13,10.13,-1.03,5.56,3.69
32.png,button_8,OK,1521.0,1075.5,11.46,8.47,-1.03,5.56,0.55
33.png,button_1,OK,1443.0,1415.0,10.38,10.95,-1.49,5.7,1.54
33.png,button_2,OK,1617.0,1267.5,12.04,10.13,-1.49,5.7,0.48
33.png,button_3,OK,1502.5,1412.0,10.13,10.95,-1.49,5.7,4.74
33.png,button_4,OK,1577.0,1237.0,11.46,9.55,-1.49,5.7,1.09
33.png,button_5,OK,1364.0,1264.5,10.13,10.13,-1.49,5.7,0.59
33.png,button_6,OK,1569.0,1084.0,12.04,9.3,-1.49,5.7,3.76
33.png,button_7,OK,1433.5,1240.0,10.13,10.13,-1.49,5.7,3.45
33.png,button_8,OK,1486.5,1093.5,11.46,8.47,-1.49,5.7,0.7
34.png,button_1,OK,1435.5,1446.0,10.38,10.95,0.15,4.58,1.14
34.png,button_2,OK,1670.5,1275.0,12.29,10.13,0.15,4.58,1.14
34.png,button_3,OK,1459.0,1439.0,10.38,11.06,0.15,4.58,4.1
34.png,button_4,OK,1626.5,1236.0,12.04,10.13,0.15,4.58,2.4
34.png,button_5,OK,1398.5,1303.0,10.13,10.95,0.15,4.58,1.3
34.png,button_6,OK,1625.5,1102.5,12.86,9.3,0.15,4.58,3.44
34.png,button_7,OK,1418.5,1285.5,10.13,10.38,0.15,4.58,2.32
34.png,button_8,OK,1593.0,1107.0,12.29,9.3,0.15,4.58,2.1
35.png,button_1,OK,1394.0,1397.0,10.13,10.95,-0.06,4.7,0.93
35.png,button_2,OK,1629.5,1283.5,12.04,10.13,-0.06,4.7,1.77
35.png,button_3,OK,1428.5,1447.5,10.13,10.95,-0.06,4.7,4.16
35.png,button_4,OK,1605.0,1254.5,11.46,10.13,-0.06,4.7,0.55
35.png,button_5,OK,1353.0,1338.5,10.13,10.95,-0.06,4.7,0.58
35.png,button_6,OK,1552.5,1101.0,12.04,9.3,-0.06,4.7,4.85
35.png,button_7,OK,1375.0,1303.5,10.13,10.38,-0.06,4.7,4.11
35.png,button_8,OK,1565.5,1137.0,12.04,9.3,-0.06,4.7,0.84
36.png,button_1,OK,1414.5,1460.5,10.38,11.21,1.16,6.45,0.38
36.png,button_2,OK,1625.5,1258.5,12.29,9.55,1.16,6.45,2.17
36.png,button_3,OK,1453.5,1476.5,10.38,11.21,1.16,6.45,3.6
36.png,button_4,OK,1627.0,1270.5,12.04,10.13,1.16,6.45,0.77
36.png,button_5,OK,1385.5,1326.0,10.13,10.95,1.16,6.45,1.11
36.png,button_6,OK,1544.5,1119.0,12.04,8.47,1.16,6.45,4.55
36.png,button_7,OK,1338.5,1331.5,10.13,10.38,1.16,6.45,3.75
36.png,button_8,OK,1551.0,1154.0,12.29,9.3,1.16,6.45,0.29
37.png,button_1,OK,1380.5,1438.5,10.13,10.95,-1.96,6.22,1.46
37.png,button_2,OK,1633.5,1246.0,12.04,9.55,-1.96,6.22,0.32
37.png,button_3,OK,1510.5,1413.0,10.13,10.95,-1.96,6.22,4.45
37.png,button_4,OK,1594.5,1242.5,12.04,9.55,-1.96,6.22,1.22
37.png,button_5,OK,1390.0,1251.0,10.13,10.13,-1.96,6.22,0.98
37.png,button_6,OK,1514.0,1108.0,11.46,9.3,-1.96,6.22,2.68
37.png,button_7,OK,1417.5,1249.5,10.13,10.13,-1.96,6.22,3.85
37.png,button_8,OK,1518.5,1153.5,11.46,9.55,-1.96,6.22,0.66
38.png,button_1,OK,1452.5,1405.5,10.38,10.95,-0.97,4.38,0.95
38.png,button_2,OK,1612.0,1248.5,12.04,10.13,-0.97,4.38,1.95
38.png,button_3,OK,1506.0,1427.5,10.13,10.95,-0.97,4.38,3.58
38.png,button_4,OK,1634.5,1259.5,12.04,10.13,-0.97,4.38,0.87
38.png,button_5,OK,1380.5,1284.0,10.13,10.38,-0.97,4.38,1.09
38.png,button_6,OK,1586.0,1087.0,12.04,8.47,-0.97,4.38,4.56
38.png,button_7,OK,1431.0,1294.5,10.13,10.38,-0.97,4.38,2.85
38.png,button_8,OK,1593.0,1039.0,12.29,8.22,-0.97,4.38,1.43
39.png,button_1,OK,1394.0,1461.5,10.13,11.21,0.06,5.88,1.02
39.png,button_2,OK,1635.0,1272.0,12.04,10.13,0.06,5.88,1.61
39.png,button_3,OK,1433.5,1462.5,10.38,11.21,0.06,5.88,3.43
39.png,button_4,OK,1614.5,1288.5,12.04,10.13,0.06,5.88,2.47
39.png,button_5,OK,1392.5,1274.0,10.13,10.38,0.06,5.88,0.99
39.png,button_6,OK,1604.0,1086.0,12.29,9.3,0.06,5.88,3.28
39.png,button_7,OK,1503.0,1286.5,10.13,10.38,0.06,5.88,2.52
39.png,button_8,OK,1589.5,1097.0,12.29,9.3,0.06,5.88,0.54
4.png,button_1,OK,1470.5,1375.5,10.38,10.38,-1.77,6.89,0.22
4.png,button_2,OK,1596.5,1250.5,12.04,10.13,-1.77,6.89,0.85
4.png,button_3,OK,1502.5,1427.0,10.13,10.95,-1.77,6.89,4.31
4.png,button_4,OK,1632.0,1229.5,12.04,9.55,-1.77,6.89,1.08
4.png,button_5,OK,1396.5,1268.5,10.13,10.38,-1.77,6.89,0.93
4.png,button_6,OK,1520.0,1104.5,11.46,9.3,-1.77,6.89,4.01
4.png,button_7,OK,1495.0,1240.5,10.13,10.13,-1.77,6.89,4.34
4.png,button_8,OK,1528.5,1130.5,11.46,9.3,-1.77,6.89,0.69
40.png,button_1,OK,1481.0,1453.0,10.55,10.95,0.07,3.55,0.77
40.png,button_2,OK,1691.0,1242.5,12.86,9.55,0.07,3.55,1.01
40.png,button_3,OK,1476.0,1442.5,10.13,11.21,0.07,3.55,3.21
40.png,button_4,OK,1620.5,1210.0,12.04,9.55,0.07,3.55,2.39
40.png,button_5,OK,1360.5,1315.5,10.13,10.95,0.07,3.55,1.23
40.png,button_6,OK,1606.5,1110.5,12.29,9.3,0.07,3.55,3.3
40.png,button_7,OK,1429.0,1291.0,10.13,10.38,0.07,3.55,2.84
40.png,button_8,OK,1560.0,1111.5,12.29,9.3,0.07,3.55,1.43
41.png,button_1,OK,1385.5,1450.5,10.13,11.21,1.5,3.87,1.2
41.png,button_2,OK,1694.0,1277.5,12.86,10.13,1.5,3.87,1.41
41.png,button_3,OK,1390.5,1447.0,10.13,11.21,1.5,3.87,4.1
41.png,button_4,OK,1619.0,1298.0,11.46,10.13,1.5,3.87,1.42
41.png,button_5,OK,1292.0,1337.0,9.3,10.95,1.5,3.87,0.78
41.png,button_6,OK,1596.5,1147.0,12.29,9.55,1.5,3.87,4.14
41.png,button_7,OK,1357.0,1376.5,10.13,10.95,1.5,3.87,3.65
41.png,button_8,OK,1632.0,1169.5,12.35,9.55,1.5,3.87,0.26
42.png,button_1,OK,1499.5,1442.0,10.95,10.95,-0.1,3.38,1.61
42.png,button_2,OK,1630.5,1283.5,12.04,10.13,-0.1,3.38,0.67
42.png,button_3,OK,1560.0,1460.0,10.38,11.21,-0.1,3.38,4.33
42.png,button_4,OK,1655.5,1284.0,12.04,10.13,-0.1,3.38,1.04
42.png,button_5,OK,1379.0,1275.5,10.13,10.13,-0.1,3.38,0.94
42.png,button_6,OK,1551.0,1158.5,12.04,9.3,-0.1,3.38,3.07
42.png,button_7,OK,1446.5,1285.5,10.13,10.13,-0.1,3.38,3.75
42.png,button_8,OK,1541.0,1042.5,11.46,8.22,-0.1,3.38,0.8
43.png,button_1,OK,1421.0,1457.5,10.38,11.21,-0.39,5.75,1.7
43.png,button_2,OK,1643.0,1289.0,12.29,10.13,-0.39,5.75,1.09
43.png,button_3,OK,1446.5,1446.0,10.38,10.95,-0.39,5.75,4.79
43.png,button_4,OK,1629.0,1226.0,12.04,9.55,-0.39,5.75,1.23
43.png,button_5,OK,1357.0,1325.0,10.13,10.95,-0.39,5.75,0.8
43.png,button_6,OK,1545.5,1140.0,12.04,9.55,-0.39,5.75,2.78
43.png,button_7,OK,1466.0,1266.0,10.13,10.13,-0.39,5.75,2.76
43.png,button_8,OK,1566.0,1096.0,12.29,9.3,-0.39,5.75,0.6
44.png,button_1,OK,1413.0,1493.5,10.13,11.46,0.77,4.42,1.17
44.png,button_2,OK,1662.5,1274.0,12.29,10.13,0.77,4.42,1.17
44.png,button_3,OK,1452.0,1423.5,10.38,10.95,0.77,4.42,3.73
44.png,button_4,OK,1641.5,1240.5,12.04,10.13,0.77,4.42,2.06
44.png,button_5,OK,1447.5,1297.5,10.38,10.38,0.77,4.42,2.48
44.png,button_6,OK,1609.0,1114.0,12.29,9.3,0.77,4.42,2.91
44.png,button_7,OK,1500.5,1274.5,10.13,10.13,0.77,4.42,2.23
44.png,button_8,OK,1613.0,1080.0,12.86,8.47,0.77,4.42,1.53
45.png,button_1,OK,1420.0,1412.0,10.13,10.95,-0.14,4.46,0.55
45.png,button_2,OK,1612.5,1236.0,12.04,9.55,-0.14,4.46,2.01
45.png,button_3,OK,1533.5,1402.5,10.13,10.95,-0.14,4.46,3.29
45.png,button_4,OK,1614.5,1276.0,12.04,10.13,-0.14,4.46,0.95
45.png,button_5,OK,1380.0,1277.0,10.13,10.38,-0.14,4.46,1.94
45.png,button_6,OK,1576.0,1088.0,12.04,9.3,-0.14,4.46,3.78
45.png,button_7,OK,1478.5,1284.5,10.13,10.13,-0.14,4.46,3.4
45.png,button_8,OK,1555.5,1093.5,12.04,9.3,-0.14,4.46,1.0
46.png,button_1,OK,1429.5,1446.5,10.38,10.95,0.55,5.95,1.11
46.png,button_2,OK,1642.5,1260.0,12.29,9.55,0.55,5.95,1.61
46.png,button_3,OK,1468.5,1459.0,10.38,11.21,0.55,5.95,3.69
46.png,button_4,OK,1629.0,1245.5,12.04,10.13,0.55,5.95,2.81
46.png,button_5,OK,1358.0,1332.0,10.13,10.95,0.55,5.95,1.58
46.png,button_6,OK,1613.5,1159.0,12.86,9.55,0.55,5.95,3.29
46.png,button_7,OK,1465.0,1263.5,10.13,10.13,0.55,5.95,1.8
46.png,button_8,OK,1528.5,1159.5,12.04,9.55,0.55,5.95,1.08
47.png,button_1,OK,1465.0,1484.0,10.95,11.21,-0.03,2.83,1.31
47.png,button_2,OK,1645.5,1289.5,12.29,10.13,-0.03,2.83,0.67
47.png,button_3,OK,1465.5,1462.5,10.13,11.21,-0.03,2.83,4.72
47.png,button_4,OK,1617.5,1278.0,12.04,10.13,-0.03,2.83,0.77
